Country,Status,Lifeexpectancy,AdultMortality,infantdeaths,Alcohol,percentageexpenditure,Measles,BMI,under-fivedeaths,Polio,Totalexpenditure,Diphtheria,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Japan,Developed,83.7,55,2,,0,35,29,3,99,,96,34474.13736,127141,2.1,1.8,0.902,15.3
Japan,Developed,83.5,57,2,0.01,88.83362243,462,28.6,3,99,1.23,96,3896.21151,127276,2,1.7,0.899,15.3
Japan,Developed,83.5,56,2,7.55,94.43428615,229,28.2,3,99,1.25,96,4454.44746,127445,2,1.7,0.894,15.3
Japan,Developed,83.3,58,2,7.39,121.5869163,228,27.8,3,99,1.17,97,4863.47665,127629,1.9,1.7,0.889,15.3
Japan,Developed,82.5,64,3,7.39,9498.729062,434,27.4,4,96,1.7,97,48167.99727,127833,1.9,1.6,0.884,15.1
Japan,Developed,83,62,3,6.9,863.0061491,450,26.9,4,98,9.58,97,4457.67639,1287,1.9,1.6,0.879,15.1
Japan,Developed,83,64,3,7.09,899.1785285,741,26.4,4,99,9.51,97,4855.17564,12847,1.8,1.6,0.881,15
Japan,Developed,82.7,66,3,7.11,7313.175418,11015,25.9,4,98,8.6,98,39339.29757,12863,1.8,1.5,0.88,15
Japan,Developed,82.6,67,3,7.29,6599.995239,0,25.4,4,97,8.25,98,35275.22843,1281,1.8,1.5,0.877,15
Japan,Developed,82.4,68,3,7.49,6502.136974,520,24.9,4,95,8.19,98,35433.98896,127854,1.7,1.5,0.873,14.9
Japan,Developed,82,69,3,7.99,6799.664423,0,24.4,4,95,8.18,98,37217.64873,127773,1.7,1.5,0.87,14.9
Japan,Developed,82.1,68,3,7.7,6746.281299,8752,23.8,4,97,8.3,99,37688.72234,127761,1.7,1.4,0.866,14.8
Japan,Developed,81.9,7,3,7.83,578.7254273,8286,23.4,5,97,8,97,3488.3992,127718,1.7,1.4,0.863,14.8
Japan,Developed,81.8,7,3,7.87,5250.249188,33812,22.9,5,89,7.85,96,32289.3554,127445,1.7,1.4,0.86,14.7
Japan,Developed,81.5,72,4,8.03,5486.51208,22552,22.5,5,81,7.75,95,33846.46564,127149,1.7,1.4,0.856,14.6
Japan,Developed,81.1,74,4,7.97,5926.296654,22497,22.2,5,98,7.53,85,38532.488,126843,1.6,1.4,0.852,14.5
India,Developing,68.3,181,910,,0,90387,18.7,1100,86,,87,1613.18878,1395398,26.7,27.3,0.615,11.6
India,Developing,68,184,957,3.07,86.52153895,79563,18.1,1200,84,4.69,85,1573.11889,1293859294,26.8,27.4,0.607,11.6
India,Developing,67.6,187,1000,3.11,67.67230438,13822,17.5,1300,82,4.53,83,1452.195373,127856227,26.8,27.5,0.599,11.5
India,Developing,67.3,19,1100,3.1,64.96964491,18668,17,1400,79,4.39,82,1446.98541,126365852,26.9,27.6,0.59,11.3
